П/П;№ ПМ;Nm1;Nm2;В на пов-ти, мТл, N;В на пов-ти, мТл, S;Среднее В пары;Отклон. Вср пары от Вср группы; Поток, мВб, N;Поток, мВб, S;Средн. Ф пары;Отклон. от средн. Ф группы; Ф N, мВб        измер на КГ ПМ  К=1,27;Ф S, мВб измер на КГ ПМ  К=1,27;;;;;
145;412 - 549;412;549;342;341;341,50;-0,67;11,70;11,71;11,70;-1,06;14,86;14,87;;;;;
146;413 - 582;413;582;343;346;344,50;0,20;11,82;11,83;11,82;-0,06;15,01;15,02;;;;;
147;42 - 352;42;352;343;344;343,50;-0,09;11,71;11,71;11,71;-1,03;14,87;14,87;;;;;
148;420 - 247;420;247;342;343;342,50;-0,38;11,74;11,74;11,74;-0,76;14,91;14,91;;;;;
149;421 - 402;421;402;341;339;340,00;-1,11;11,87;11,89;11,88;0,44;15,08;15,1;;;;;
150;424 - 708;424;708;343;346;344,50;0,20;11,74;11,75;11,75;-0,72;;;;;;;
151;425 - 10;425;10;345;346;345,5;0,49;11,73;11,74;11,74;-0,79;14,9;14,91;;;;;
152;430 - 474;430;474;344;342;343,00;-0,23;11,79;11,79;11,79;-0,36;14,97;14,97;;;;;
153;434 - 461;434;461;342;338;340,00;-1,11;11,90;11,90;11,90;0,57;15,11;15,11;;;;;
154;437 - 620;437;620;344;347;345,5;0,49;11,80;11,80;11,80;-0,25;;;;;;;
155;438 - 473;438;473;344;340;342;-0,52;11,93;11,94;11,93;0,87;15,15;15,16;;;;;
156;443 - 242;443;242;343;345;344,00;0,06;11,95;11,95;11,95;1,04;15,18;15,18;;;;;
157;444 - 564;444;564;346;344;345,00;0,35;11,77;11,78;11,78;-0,46;;;;;;;
158;445 - 208;445;208;340;342;341,00;-0,81;11,91;11,91;11,91;0,70;15,13;15,13;;;;;
159;446 - 244;446;244;344;342;343,00;-0,23;11,77;11,78;11,78;-0,46;14,87;14,87;;;;;
160;450 - 460;450;460;340;341;340,50;-0,96;11,82;11,82;11,82;-0,09;15,01;15,01;;;;;
161;452 - 646;452;646;345;344;344,50;0,20;11,77;11,76;11,77;-0,55;;;;;;;
162;457 - 576;457;576;342;342;342;-0,52;11,88;11,90;11,89;0,51;15,09;15,11;;;;;
163;458 - 638;458;638;342;343;342,50;-0,38;11,73;11,76;11,74;-0,73;14,9;14,93;;;;;
164;459 - 163;459;163;349;347;348,00;1,22;11,84;11,84;11,84;0,11;15,04;15,04;;;;;
165;463 - 93;463;93;339;341;340,00;-1,11;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
166;466 - 554;466;554;347;345;346,00;0,64;11,73;11,73;11,73;-0,83;14,9;14,9;;;;;
167;469 - 164;469;164;344;343;343,50;-0,09;11,74;11,75;11,74;-0,73;14,91;14,92;;;;;
168;470 - 398;470;398;338;339;338,50;-1,54;11,89;11,89;11,89;0,51;15,1;15,1;;;;;
169;471 - 494;471;494;342;341;341,50;-0,67;11,89;11,89;11,89;0,51;15,1;15,1;;;;;
170;472 - 145;472;145;345;342;343,50;-0,09;11,81;11,81;11,81;-0,17;;;;;;;
171;475 - 362;475;362;341;342;341,50;-0,67;11,73;11,73;11,73;-0,85;;;;;;;
172;477 - 441;477;441;344;347;345,50;0,49;11,83;11,83;11,83;0,04;15,03;15,03;;;;;
173;481 - 396;481;396;340;340;340,00;-1,11;11,91;11,91;11,91;0,64;15,12;15,12;;;;;
174;483 - 640;483;640;346;347;346,50;0,79;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
175;484 - 612;484;612;349;349;349,00;1,51;11,84;11,84;11,84;0,08;;;;;;;
176;486 - 440;486;440;340;341;340,50;-0,96;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
177;489 - 572;489;572;349;346;347,50;1,08;11,78;11,78;11,78;-0,43;14,96;14,96;;;;;
178;497 - 637;497;637;349;350;349,50;1,66;11,88;11,88;11,88;0,44;15,09;15,09;;;;;
179;501 - 627;501;627;343;343;343,00;-0,23;11,80;11,80;11,80;-0,25;;;;;;;
180;503 - 416;503;416;344;344;344;0,06;11,81;11,79;11,80;-0,25;14,97;14,97;;;;;
181;504 - 442;504;442;346;345;345,50;0,49;11,75;11,75;11,75;-0,69;14,92;14,92;;;;;
182;550 - 37;550;37;348;345;346,5;0,79;11,78;11,78;11,78;-0,43;14,96;14,96;;;;;
183;551 - 2903;551;2903;344;344;344,00;0,06;11,76;11,76;11,76;-0,56;14,94;14,94;;;;;
184;552 - 625;552;625;342;343;342,50;-0,38;11,77;11,78;11,78;-0,46;;;;;;;
185;553 - 231;553;231;342;338;340,00;-1,11;11,81;11,81;11,81;-0,16;15;15;;;;;
186;558 - 664;558;664;347;348;347,50;1,08;11,81;11,83;11,82;-0,09;15;15,02;;;;;
187;559 - 592;559;592;346;346;346,00;0,64;11,79;11,80;11,80;-0,30;;;;;;;
188;561 - 414;561;414;341;339;340,00;-1,11;11,89;11,89;11,89;0,51;15,1;15,1;;;;;
189;562 - 206;562;206;344;341;342,50;-0,38;11,81;11,81;11,81;-0,16;15;15;;;;;
190;563 - 348;563;348;345;343;344,00;0,06;11,75;11,77;11,76;-0,59;;;;;;;
191;566 - 796;566;796;346;344;345,00;0,35;11,76;11,77;11,77;-0,55;;;;;;;
192;568 - 182;568;182;341;342;341,50;-0,67;11,93;11,93;11,93;0,84;15,15;15,15;;;;;
193;569 - 669;569;669;339;340;339,50;-1,25;11,89;11,89;11,89;0,51;15,1;15,1;;;;;
194;570 - 94;570;94;344;345;344,50;0,20;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
195;575 - 482;575;482;338;338;338,00;-1,69;11,83;11,83;11,83;-0,03;15,02;15,02;;;;;
196;577 - 766;577;766;344;346;345,00;0,35;11,75;11,78;11,77;-0,55;;;;;;;
197;578 - 415;578;415;343;342;342,50;-0,38;11,73;11,75;11,74;-0,76;14,9;14,92;;;;;
198;581 - 547;581;547;343;344;343,50;-0,09;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
199;583 - 468;583;468;340;345;342,50;-0,38;11,80;11,81;11,80;-0,23;14,98;15;;;;;
200;585 - 241;585;241;346;349;347,50;1,08;11,77;11,76;11,77;-0,55;;;;;;;
201;587 - 381;587;381;342;338;340,00;-1,11;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
202;588 - 165;588;165;351;350;350,50;1,95;11,84;11,84;11,84;0,11;15,04;15,04;;;;;
203;590 - 128;590;128;342;342;342,00;-0,52;11,91;11,91;11,91;0,64;15,12;15,12;;;;;
204;595 - 404;595;404;340;342;341,00;-0,81;11,76;11,76;11,76;-0,56;14,94;14,94;;;;;
205;596 - 556;596;556;348;350;349,00;1,51;11,79;11,79;11,79;-0,34;15,01;15,01;;;;;
206;597 -565;597;65;343;342;342,50;-0,38;11,93;11,94;11,93;0,87;15,15;15,16;;;;;
207;598 - 408;598;408;338;338;338,00;-1,69;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
208;599 - 435;599;435;345;347;346;0,64;11,84;11,84;11,84;0,11;15,04;15,04;;;;;
209;600 - 418;600;418;339;339;339;-1,40;11,93;11,94;11,94;0,89;;;;;;;
210;603 - 342;603;342;342;340;341,00;-0,81;11,92;11,94;11,93;0,84;15,14;15,16;;;;;
211;604 - 433;604;433;343;347;345,00;0,35;11,73;11,73;11,73;-0,85;;;;;;;
212;605 - 667;605;667;338;339;338,5;-1,54;11,93;11,92;11,93;0,80;;;;;;;
213;606 - 699;606;699;342;342;342;-0,52;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
214;609 - 166;609;166;346;344;345,00;0,35;11,81;11,79;11,80;-0,25;;;;;;;
215;610 - 793;610;793;339;341;340;-1,11;11,94;11,94;11,94;0,94;15,16;15,17;;;;;
216;611 - 422;611;422;347;344;345,50;0,49;11,78;11,78;11,78;-0,42;;;;;;;
217;614 - 707;614;707;340;345;342,50;-0,38;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
218;615 - 778;615;778;345;342;343,50;-0,09;11,95;11,97;11,96;1,10;15,18;15,2;;;;;
219;617 - 690;617;690;342;343;342,50;-0,38;11,79;11,79;11,79;-0,36;14,97;14,97;;;;;
220;618 - 641;618;641;340;337;338,5;-1,54;11,85;11,87;11,86;0,25;;;;;;;
221;619 - 666;619;666;342;345;343,5;-0,09;11,89;11,89;11,89;0,51;15,1;15,1;;;;;
222;622 - 417;622;417;341;342;341,50;-0,67;11,80;11,80;11,80;-0,29;14,98;14,98;;;;;
223;626 - 601;626;601;352;350;351,00;2,09;11,80;11,80;11,80;-0,29;14,98;14,98;;;;;
224;628 - 757;628;757;346;346;346;0,64;11,83;11,83;11,83;-0,03;15,02;15,02;;;;;
225;629 - 634;629;634;340;343;341,50;-0,67;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
226;630 - 791;630;791;345;347;346;0,64;11,81;11,83;11,82;-0,09;15;15,02;;;;;
227;632 - 490;632;490;347;346;346,50;0,79;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
228;636 - 602;636;602;342;340;341,00;-0,81;11,91;11,91;11,91;0,70;15,13;15,13;;;;;
229;639 - 371;639;371;339;343;341,00;-0,81;11,75;11,75;11,75;-0,69;14,92;14,92;;;;;
230;641 - 130;641;130;343;340;341,50;-0,67;11,73;11,75;11,74;-0,76;14,9;14,92;;;;;
231;642 - 660;642;660;346;347;346,5;0,79;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
232;643 - 663;643;663;351;349;350,00;1,80;11,92;11,92;11,92;0,77;15,14;15,14;;;;;
233;644 - 613;644;613;341;339;340,00;-1,11;11,92;11,92;11,92;0,77;15,14;15,14;;;;;
234;645 - 694;645;694;344;347;345,50;0,49;11,94;11,94;11,94;0,90;15,16;15,16;;;;;
235;648 - 432;648;432;340;344;342,00;-0,52;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
236;651 - 647;651;647;346;345;345,50;0,49;11,80;11,80;11,80;-0,23;14,99;14,99;;;;;
237;652 - 594;652;594;342;339;340,50;-0,96;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
238;654 - 653;654;653;341;339;340,00;-1,11;11,81;11,81;11,81;-0,16;15;15;;;;;
239;658 - 451;658;451;340;341;340,50;-0,96;11,75;11,75;11,75;-0,69;14,92;14,92;;;;;
240;662 - 464;662;464;343;344;343,50;-0,09;11,77;11,77;11,77;-0,51;;;;;;;
241;665 - 659;665;659;343;344;343,5;-0,09;11,87;11,87;11,87;0,37;15,08;15,08;;;;;
242;668 - 338;668;338;339;344;341,50;-0,67;11,82;11,82;11,82;-0,09;15,01;15,01;;;;;
243;671 - 1885;671;1885;341;342;341,50;-0,67;11,93;11,94;11,94;0,90;15,15;15,17;;;;;
244;674  - 131;674 ;131;346;346;346,00;0,64;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
245;676 - 138;676;138;345;346;345,50;0,49;11,88;11,89;11,89;0,47;15,09;15,1;;;;;
246;678 - 701;678;701;346;344;345,00;0,35;11,92;11,92;11,92;0,77;15,14;15,14;;;;;
247;679 - 347;679;347;344;338;341,00;-0,81;11,77;11,79;11,78;-0,43;14,95;14,97;;;;;
248;681 - 199;681;199;347;347;347,00;0,93;11,81;11,82;11,82;-0,13;;;;;;;
249;682 - 183;682;183;341;345;343,00;-0,23;11,87;11,85;11,86;0,24;15,07;15,05;;;;;
250;685 - 479;685;479;344;344;344,00;0,06;11,76;11,76;11,76;-0,63;14,93;14,93;;;;;
251;687 - 768;687;768;343;345;344;0,06;11,82;11,82;11,82;-0,08;;;;;;;
252;691 - 696;691;696;338;338;338,00;-1,69;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
253;693 - 373;693;373;344;339;341,50;-0,67;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
254;698 - 341;698;341;351;347;349,00;1,51;11,76;11,76;11,76;-0,56;14,94;14,94;;;;;
255;7 - 372;7;372;338;339;338,50;-1,54;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
256;700 - 624;700;624;338;341;339,50;-1,25;11,84;11,84;11,84;0,11;15,04;15,04;;;;;
257;703 - ;703;;345;340;342,50;-0,38;11,88;11,88;11,88;0,44;15,09;15,09;;;;;
258;704 - 697;704;697;343;344;343,50;-0,09;11,92;11,92;11,92;0,77;15,14;15,14;;;;;
259;705 - 760;705;760;343;342;342,5;-0,38;11,94;11,94;11,94;0,97;15,17;15,17;;;;;
260;709 - 702;709;702;347;343;345;0,35;11,88;11,89;11,89;0,47;15,09;15,1;;;;;
261;712 - 631;712;631;340;342;341,00;-0,81;11,76;11,76;11,76;-0,56;14,94;14,94;;;;;
262;713 -236;713;36;344;347;345,50;0,49;11,77;11,77;11,77;-0,51;;;;;;;
263;714 - 696;714;696;338;338;338;-1,69;11,95;11,88;11,92;0,72;;;;;;;
264;762 - 683;762;683;347;349;348,00;1,22;11,76;11,76;11,76;-0,59;;;;;;;
265;767 - 383;767;383;344;345;344,50;0,20;11,78;11,76;11,77;-0,51;;;;;;;
266;769 - 580;769;580;343;342;342,50;-0,38;11,89;11,89;11,89;0,51;15,1;15,1;;;;;
267;770 - 1860;770;1860;346;344;345,00;0,35;11,74;11,74;11,74;-0,76;14,91;14,91;;;;;
268;771 - 621;771;621;350;350;350,00;1,80;11,87;11,87;11,87;0,37;15,08;15,08;;;;;
269;772 - 650;772;650;348;346;347;0,93;11,80;11,80;11,80;-0,26;14,98;14,99;;;;;
270;774 - 1888;774;1888;340;343;341,50;-0,67;11,90;11,90;11,90;0,57;15,11;15,11;;;;;
271;777 - 25;777;25;351;350;350,5;1,95;11,92;11,92;11,92;0,77;15,14;15,14;;;;;
272;779 - 689;779;689;348;346;347,00;0,93;11,79;11,80;11,79;-0,33;14,97;14,98;;;;;
273;781 - 711;781;711;347;351;349,00;1,51;11,83;11,81;11,82;-0,08;;;;;;;
274;783 - 465;783;465;340;340;340,00;-1,11;11,88;11,85;11,87;0,30;;;;;;;
275;784 - 759;784;759;342;340;341;-0,81;11,93;11,93;11,93;0,84;15,15;15,15;;;;;
276;785 - 2901;785;2901;340;342;341,00;-0,81;11,93;11,93;11,93;0,84;15,15;15,15;;;;;
277;790 - 789;790;789;348;348;348,00;1,22;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
278;792 - 649;792;649;344;346;345,00;0,35;11,81;11,81;11,81;-0,16;15;15;;;;;
279;797 - 657;797;657;341;341;341;-0,81;11,88;11,90;11,89;0,51;15,09;15,11;;;;;
280;85 - 91;85;91;348;350;349,00;1,51;11,81;11,81;11,81;-0,16;15;15;;;;;
281;86 - 114;86;114;339;340;339,50;-1,25;11,76;11,76;11,76;-0,63;14,93;14,93;;;;;
282;87 - 170;87;170;341;347;344,00;0,06;11,91;11,91;11,91;0,70;15,13;15,13;;;;;
283;88 - 106;88;106;343;343;343,00;-0,23;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
284;89 - 635;89;635;351;352;351,50;2,24;11,95;11,95;11,95;1,04;15,18;15,18;;;;;
285;9 - 1852;9;1852;341;342;341,50;-0,67;11,81;11,81;11,81;-0,16;15;15;;;;;
286;90 - 367;90;367;344;345;344,50;0,20;11,77;11,77;11,77;-0,49;14,95;14,95;;;;;
287;92 - 499;92;499;345;347;346,00;0,64;11,83;11,83;11,83;0,04;15,03;15,03;;;;;
288;95 - 485;95;485;341;341;341,00;-0,81;11,81;11,81;11,81;-0,16;15;15;;;;;
289;96 - 117;96;117;342;341;341,50;-0,67;11,88;11,88;11,88;0,44;15,09;15,09;;;;;
290;97 - 394;97;394;347;346;346,50;0,79;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
291;98 - 1866;98;1866;352;351;351,50;2,24;11,83;11,84;11,83;0,04;15,02;15,04;;;;;
292;99 - 111;99;111;341;341;341,00;-0,81;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
